;UF;city;Lat;Long;height;availability;availability time
4855;RN;São Tomé;-5.973;-36.08;0.0;99.999;5.0
4856;RS;São Valentim;-27.6;-52.5;0.0;99.999;5.0
4857;RS;São Valentim do Sul;-29.047;-51.77;0.0;99.999;5.0
4858;TO;São Valério da Natividade;-11.975;-48.23;0.0;99.999;5.0
4859;RS;São Valério do Sul;-27.759;-53.94;0.0;99.999;5.0
4860;RS;São Vendelino;-29.369;-51.38;0.0;99.999;5.0
4861;RN;São Vicente;-6.217;-36.68;981.0;99.999;5.0
4862;SP;São Vicente;-23.963;-46.39;0.0;99.998;11.0
4863;MG;São Vicente de Minas;-21.751;-44.44;32.0;99.999;5.0
4864;RS;São Vicente do Sul;-29.692;-54.68;0.0;99.999;5.0
4865;MA;São Vicente Ferrer;-2.756;-44.76;0.0;99.998;11.0
4866;PE;São Vicente Ferrer;-7.6;-35.49;65.0;99.998;11.0
4867;PB;Sapé;-7.096;-35.23;204.0;99.998;11.0
4868;BA;Sapeaçu;-12.753;-39.18;0.0;99.998;11.0
4869;MT;Sapezal;-12.989;-58.76;0.0;99.999;5.0
4870;RS;Sapiranga;-29.638;-51.01;0.0;99.999;5.0
4871;PR;Sapopema;-23.911;-50.6;854.0;99.999;5.0
4872;PA;Sapucaia;-6.947;-49.68;0.0;99.999;5.0
4873;RJ;Sapucaia;-21.995;-42.91;203.0;99.999;5.0
4874;RS;Sapucaia do Sul;-29.755;-51.15;575.0;99.999;5.0
4875;MG;Sapucaí-Mirim;-22.755;-45.74;1284.0;99.999;5.0
4876;RJ;Saquarema;-22.92;-42.5;10.0;99.998;11.0
4877;PR;Sarandi;-23.444;-51.76;573.0;99.999;5.0
4878;RS;Sarandi;-27.944;-52.92;0.0;99.999;5.0
4879;SP;Sarapuí;-23.641;-47.75;644.0;99.999;5.0
4880;MG;Sardoá;-18.758;-42.37;711.0;99.999;5.0
4881;SP;Sarutaiá;-23.273;-49.48;752.0;99.999;5.0
4882;MG;Sarzedo;-20.035;-44.14;814.0;99.999;5.0
4883;BA;Sátiro Dias;-11.6;-38.6;288.0;99.999;5.0
4884;AL;Satuba;-9.6;-35.75;0.0;99.998;11.0
4885;MA;Satubinha;-3.755;-45.27;34.0;99.999;5.0
4886;BA;Saubara;-12.754;-38.77;3.0;99.998;11.0
4887;PR;Saudade do Iguaçu;-25.694;-52.62;628.0;99.999;5.0
4888;SC;Saudades;-26.924;-53.0;0.0;99.999;5.0
4889;BA;Saúde;-10.941;-40.42;560.0;99.999;5.0
4890;SC;Schroeder;-26.413;-49.07;52.0;99.999;5.0
4891;BA;Seabra;-12.419;-41.77;1206.0;99.999;5.0
4892;SC;Seara;-27.149;-52.31;0.0;99.999;5.0
4893;SP;Sebastianópolis do Sul;-20.655;-49.92;458.0;99.999;5.0
4894;PI;Sebastião Barros;-10.755;-44.75;460.0;99.999;5.0
4895;BA;Sebastião Laranjeiras;-14.6;-42.94;517.0;99.999;5.0
4896;PI;Sebastião Leal;-7.6;-44.06;370.0;99.999;5.0
4897;RS;Seberi;-27.478;-53.4;0.0;99.999;5.0
4898;RS;Sede Nova;-27.635;-53.95;0.0;99.999;5.0
4899;RS;Segredo;-29.341;-52.98;0.0;99.999;5.0
4900;RS;Selbach;-28.629;-52.95;0.0;99.999;5.0
4901;MS;Selvíria;-20.367;-51.42;381.0;99.999;5.0
4902;MG;Sem-Peixe;-20.109;-42.75;490.0;99.999;5.0
4903;AC;Sena Madureira;-9.066;-68.66;0.0;99.999;5.0
4904;MA;Senador Alexandre Costa;-5.256;-44.06;128.0;99.999;5.0
4905;MG;Senador Amaral;-22.6;-46.18;1484.0;99.999;5.0
4906;GO;Senador Canedo;-16.751;-49.09;796.0;99.999;5.0
4907;MG;Senador Cortes;-21.755;-42.95;591.0;99.999;5.0
4908;RN;Senador Elói de Souza;-6.036;-35.69;0.0;99.999;5.0
4909;MG;Senador Firmino;-20.912;-43.1;738.0;99.999;5.0
4910;RN;Senador Georgino Avelino;-6.125;-35.12;0.0;99.998;11.0
4911;AC;Senador Guiomard;-10.152;-67.74;0.0;99.999;5.0
4912;MG;Senador José Bento;-22.125;-46.18;897.0;99.999;5.0
4913;PA;Senador José Porfírio;-2.6;-51.95;140.0;99.999;5.0
4914;MA;Senador La Rocque;-5.443;-47.29;314.0;99.999;5.0
4915;MG;Senador Modestino Gonçalves;-17.947;-43.23;673.0;99.999;5.0
4916;CE;Senador Pompeu;-5.6;-39.37;196.0;99.999;5.0
4917;AL;Senador Rui Palmeira;-9.466;-37.46;0.0;99.999;5.0
4918;CE;Senador Sá;-3.351;-40.46;65.0;99.999;5.0
4919;RS;Senador Salgado Filho;-28.031;-54.5;0.0;99.999;5.0
4920;PR;Sengés;-24.113;-49.46;980.0;99.999;5.0
4921;BA;Senhor do Bonfim;-10.461;-40.19;470.0;99.999;5.0
4922;MG;Senhora de Oliveira;-20.759;-43.34;768.0;99.999;5.0
4923;MG;Senhora do Porto;-18.756;-43.08;598.0;99.999;5.0
4924;MG;Senhora dos Remédios;-21.028;-43.6;773.0;99.999;5.0
4925;RS;Sentinela do Sul;-30.611;-51.6;0.0;99.999;5.0
4926;BA;Sento Sé;-9.755;-41.76;437.0;99.999;5.0
4927;RS;Serafina Corrêa;-28.751;-51.94;0.0;99.999;5.0
4928;MG;Sericita;-20.474;-42.48;907.0;99.999;5.0
4929;PB;Seridó;-6.934;-36.4;0.0;99.999;5.0
4930;RO;Seringueiras;-11.76;-63.03;0.0;99.999;5.0
4931;RS;Sério;-29.383;-52.27;0.0;99.999;5.0
